SKU,Stock Location,Stock available level at location,Stock level at location,Stock value at location,Category,ItemTitle,Purchase Price,Due Stock Value,Due,Is Variation Parent,Is Archived
HX10TSSDM2PCIE-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 PCIE LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDM2-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDM2-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDM2-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD M2 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDMSATA-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD MSATA 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDMSATA-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD MSATA 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDMSATA-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD MSATA  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDMSATA-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSD MSATA LOW HEALTH USED,0,0,0,FALSE,FALSE
HX10TSSDSATA3-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSDSATA3 70-79% health USED,0,0,0,FALSE,FALSE
HX10TSSDSATA3-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSDSATA3 80-89% health USED,0,0,0,FALSE,FALSE
HX10TSSDSATA3-UF,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSDSATA3  USED FAULTY,0,0,0,FALSE,FALSE
HX10TSSDSATA3-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,10TB SSDSATA3 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2242-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2242 70-79% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2242-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2242 80-89% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2242-UF,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2242  USED FAULTY,0,0,0,FALSE,FALSE
HX115GSSDM2-2242-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2242 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2260-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2260 70-79% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2260-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2260 80-89% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2260-UF,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2260  USED FAULTY,0,0,0,FALSE,FALSE
HX115GSSDM2-2260-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2260 LOW HEALTH USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2280-U-70,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2280 70-79% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2280-U-80,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2280 80-89% health USED,0,0,0,FALSE,FALSE
HX115GSSDM2-2280-UF,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2280  USED FAULTY,0,0,0,FALSE,FALSE
HX115GSSDM2-2280-U-LH,Default,0,0,0.00,Trade SSD/SSHD USED,115GB SSD M2  2280 LOW HEALTH USED,0,0,0,FALSE,FALSE
