ItemNumber,Location,FinalStockLevel,FinalStockValue,PurchasePrice
440g8-UF,Default,0.0,0.0,121.75999999999999
440g8-UF,Sharjah Warehouse1,2.0,243.519999999999,121.7599999999995
441830-001,Default,0.0,0.0,2.2
44T2216,Default,7.0,0.06,0.008571428571428572
44X3320,Default,2.0,0.02,0.01
450G3-UF,Default,0.0,0.0,88.69
450G3-UF,Sharjah Warehouse1,1.0,88.69,88.69
450G4-UF,Default,0.0,0.0,94.28521432
450G5-UF,Default,1.0,108.45,108.45
450G6-UF,Default,0.0,0.0,60.0
450G6-UF,Sharjah Warehouse1,2.0,120.0,60.0
450G7-UF,Default,0.0,0.0,95.715527
450G8-UF,Default,0.0,0.0,126.9633333
4524GT-PWR,Default,2.0,6.0,3.0
455G5-UF,Default,4.0,419.8,104.95
461134-002,Default,1.0,0.5,0.5
461488-001,Default,2.0,0.02,0.01
46K6601,Default,1.0,0.01,0.01
46Y3512,Default,2.0,0.02,0.01
470G3-UF,Default,0.0,0.0,0.0
470G4-UF,Default,0.0,0.0,99.53
47C8676,Default,1.0,1.0,1.0
4810402-06,Default,0.0,0.0,0.01
4826GTS-PWR+,Default,1.0,5.0,5.0
489193-001,Default,2.0,0.02,0.01
491176-001-HP,Default,12.0,8.39,0.6991666666666667
491176-001-LP,Default,0.0,0.0,0.01
49Y6080,Default,1.0,8.02,8.02
49Y6139,Default,2.0,11.56,5.78
4G04D3 AFR/MFR/BFR,Default,0.0,0.0,0.121644006
4G08D3,Default,1440.0,142.78,0.09915277777777778
4G08D3,UK-Reballing,7869.0,1971.95,0.2505972804676579
4G08-D3,Default,30296.0,6393.33,0.21102884869289676
4G08-D4,China-Shenzhen Office-450,2412.0,297.08,0.12316749585406302
4G08-D4,Default,1280.0,157.65,0.1231640625
4G08-D4,UK-Reballing,4768.0,1052.48,0.22073825503355704
4NMJF-CO,Default,0.0,0.0,70.0
4VXP3,Default,0.0,0.0,10.0
50006094,Default,0.0,0.0,5.0
500GBHDD,Default,0.0,0.0,3.33
500GBHDD,Gaming PC & Laptops,59.0,196.47,3.33
500GBMSATA,Default,0.0,0.0,15.5
507609-001,Default,7.0,14.0,2.0
507609-001 70-80%,Default,1.0,2.0,2.0
50FY7-CO,Default,0.0,0.0,6.0
511777-001,Default,17.0,0.17,0.01
511778-001,Default,0.0,0.0,0.04735344444
512GBMSATA,Default,0.0,0.0,7.34
5270-UF,Default,4.0,309.10465439999996,77.27616359999999
5270-UF,Sharjah Warehouse1,3.0,231.84,77.28
5270-UF,Gaming PC & Laptops,0.0,0.0,0.0
5280-UF,Default,0.0,0.0,74.995214
5280-UF,Sharjah Warehouse1,1.0,74.995214,74.995214
5289-UF,Default,0.0,0.0,77.12711432
5290-UF,Default,1.0,120.175,120.175
5290-UF,Sharjah Warehouse1,1.0,120.18,120.18
529FG,Default,0.0,0.0,3.0
529FG-PE,Default,0.0,0.0,3.0
5300-UF,Default,0.0,0.0,80.0
5300-UF,Sharjah Warehouse1,2.0,160.0,80.0
5310-UF,Default,0.0,0.0,107.61995
5370-UF,Default,0.0,0.0,95.445
5370-UF,Sharjah Warehouse1,1.0,95.445,95.445
5400-UF,Default,9.0,666.58,74.06444444444445
5400-UF,Sharjah Warehouse1,12.0,840.0,70.0
5401-UF,Default,1.0,117.38681,117.38681000000001
5401-UF,Sharjah Warehouse1,2.0,234.770429533333,117.3852147666665
5402-UF,Default,0.0,0.0,120.18
5410-UF,Default,2.0,185.28250000000003,92.64125
5410-UF,Sharjah Warehouse1,10.0,1026.9333333333332,102.69333333333333
5420-UF,Default,0.0,0.0,127.865214
5420-UF,Sharjah Warehouse1,5.0,639.3249999999999,127.865
5420-UF,Gaming PC & Laptops,0.0,0.0,0.0
5430-UF,Default,0.0,0.0,0.0
5468-UF,Default,0.0,0.0,0.0
5470-UF,Default,9.0,575.73,63.97000000000001
5470-UF,Sharjah Warehouse1,6.0,383.82,63.97
5471-UF,Default,0.0,0.0,84.71
5471-UF,Sharjah Warehouse1,1.0,84.71,84.71
5480-UF,Default,7.0,633.269669375,90.467095625
5480-UF,Sharjah Warehouse1,1.0,90.466765,90.466765
5481-UF,Default,0.0,0.0,86.1
5481-UF,Sharjah Warehouse1,1.0,86.1,86.1
5490-UF,Default,0.0,0.0,113.8412143
5490-UF,Sharjah Warehouse1,3.0,341.52,113.83999999999999
5491-UF,Default,0.0,0.0,116.1652143
5500-Si,Default,1.0,2.0,2.0
5500-UF,Default,1.0,106.9,106.9
5500-UF,Gaming PC & Laptops,0.0,0.0,0.0
5501-UF,Default,0.0,0.0,108.27
5510-UF,Default,0.0,0.0,113.97
5520-24T-PWR,Default,3.0,60.0,20.0
5520-48T-PWR,Default,0.0,0.0,5.0
5520-UF,Default,0.0,0.0,110.5233334
